statecode,statename,distnew_1,nfhs1_districtname,districtcode_nfhs1,distnew_2,nfhs2_districtname,districtcode_nfhs2,state_nfhs5,name_nfhs5,distnew_4,nfhs4_districtname,districtcode_nfhs4,distnew_5,nfhs5_districtname,districtcode_nfhs5,state_sbm,district_sbm,,,,,,,,,,,,,,
4,bihar,,,,1321,Palamu,35,119,jharkhand,1321,palamu,358,1321,palamu,358,JHARKAHND,PALAMU,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1321,garhwa,346,1321,garhwa,346,JHARKAHND,GARHWA,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1321,latehar,359,1321,latehar,359,JHARKAHND,LATEHAR,,,,,,,,,,,,,,
4,bihar,,,,1329,Gumla,37,119,jharkhand,1329,gumla,366,1329,gumla,366,JHARKAHND,GUMLA,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1329,simdega,367,1329,simdega,367,JHARKAHND,SIMDEGA,,,,,,,,,,,,,,
4,bihar,,,,1327,Ranchi,38,119,jharkhand,1327,ranchi,364,1327,ranchi,364,JHARKAHND,RANCHI,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1327,khunti,365,1327,khunti,365,JHARKAHND,KHUNTI,,,,,,,,,,,,,,
4,bihar,,,,1320,Purbi Singhbhum,39,119,jharkhand,1320,purbi singhbhum,357,1320,purbi singhbhum,357,JHARKAHND,PURBI SINGHBHUM,,,,,,,,,,,,,,
4,bihar,,,,1331,Pas. Singhbhum,40,119,jharkhand,1331,pashchimi singhbhum,368,1331,pashchimi singhb,368,JHARKAHND,PASCHIM SINGHBHUM,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1331,saraikela kharsawan,369,1331,saraikela-kharsa,369,JHARKAHND,SERAIKELA KHARSAWAN,,,,,,,,,,,,,,
,,,,,,,,119,jharkhand,1319,lohardaga,356,1319,lohardaga,356,JHARKAHND,LOHARDAGA,,,,,,,,,,,,,,
5,goa,1520,Goa,1,1520,North Goa,1,128,goa,1520,north goa,585,1520,north goa,585,GOA,NORTH GOA,,,,,,,,,,,,,,
5,goa,,,,1520,South Goa,2,128,goa,1520,south goa,586,1520,south goa,586,GOA,SOUTH GOA,,,,,,,,,,,,,,
6,gujarat,1612,JAMNAGAR,1,1612,JAMNAGAR,1,123,gujarat,1612,jamnagar,477,1612,devbhumi dwarka,853,GUJARAT,DEVBHOOMI DWARKA,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,,,,1612,jamnagar,855,GUJARAT,JAMNAGAR,,,,,,,,,,,,,,
6,gujarat,1615,RAJKOT,2,1615,RAJKOT,2,123,gujarat,1615,rajkot,476,1615,rajkot,861,GUJARAT,RAJKOT,,,,,,,,,,,,,,
6,gujarat,1615,SURENDRANAGAR,3,1615,SURENDRANAGAR,3,123,gujarat,1615,surendranagar,475,1615,surendranagar,863,GUJARAT,SURENDRANAGAR,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,,,,1615,morbi,859,GUJARAT,MORBI,,,,,,,,,,,,,,
6,gujarat,1609,BHAVNAGAR,4,1609,BHAVNAGAR,4,123,gujarat,1609,bhavnagar,481,1609,bhavnagar,850,GUJARAT,BHAVNAGAR,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,,,,1609,botad,851,GUJARAT,BOTAD,,,,,,,,,,,,,,
6,gujarat,1609,AMRELI,5,1609,AMRELI,5,123,gujarat,1609,amreli,480,1609,amreli,480,GUJARAT,AMRELI,,,,,,,,,,,,,,
6,gujarat,1613,JUNAGADH,6,1613,JUNAGADH,6,123,gujarat,1613,junagadh,479,1613,gir somnath,854,GUJARAT,GIR SOMNATH,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,,,,1613,junagadh,856,GUJARAT,JUNAGADH,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,1613,porbandar,478,1613,porbandar,478,GUJARAT,PORBANDAR,,,,,,,,,,,,,,
6,gujarat,1424,KACHCHH,7,1424,KACHCHH,7,123,gujarat,1424,kachchh,468,1424,kachchh,468,GUJARAT,KACHCHH,,,,,,,,,,,,,,
6,gujarat,1610,SABARKANTHA,9,1610,SABARKANTHA,9,123,gujarat,1610,sabarkantha,472,1610,aravali,849,GUJARAT,ARAVALLI,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,,,,1610,sabar kantha,862,GUJARAT,SABAR KANTHA,,,,,,,,,,,,,,
6,gujarat,1614,BANASKANTHA,8,1614,BANASKANTHA,8,123,gujarat,1614,banaskantha,469,1614,banas kantha,469,GUJARAT,BANAS KANTHA,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,1614,patan,470,1614,patan,470,GUJARAT,PATAN,,,,,,,,,,,,,,
6,gujarat,1614,MAHESANA,10,1614,MAHESANA,10,123,gujarat,1614,mahesana,471,1614,mahesana,471,GUJARAT,MEHSANA,,,,,,,,,,,,,,
6,gujarat,1614,GANDHINAGAR,11,1614,GANDHINAGAR,11,123,gujarat,1614,gandhinagar,473,1614,gandhinagar,473,GUJARAT,GANDHINAGAR,,,,,,,,,,,,,,
6,gujarat,1614,AHMADABAD,12,1614,AHMADABAD,12,123,gujarat,1614,ahmadabad,474,1614,ahmadabad,848,GUJARAT,AHMEDABAD,,,,,,,,,,,,,,
6,gujarat,1614,KHEDA,13,1614,KHEDA,13,123,gujarat,1614,kheda,483,1614,kheda,857,GUJARAT,KHEDA,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,,,,1614,mahisagar,858,GUJARAT,MAHISAGAR,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,1614,anand,482,1614,anand,482,GUJARAT,ANAND,,,,,,,,,,,,,,
6,gujarat,1614,PANCHMAHALS,14,1614,PANCHMAHALS,14,123,gujarat,1614,panchmahal,484,1614,panch mahals,860,GUJARAT,PANCH MAHALS,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,1614,dohad,485,1614,dohad,485,GUJARAT,DAHOD,,,,,,,,,,,,,,
6,gujarat,1611,VADODARA,15,1611,VADODARA,15,123,gujarat,1611,vadodara,486,1611,chhota udaipur,852,GUJARAT,CHHOTAUDEPUR,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,,,,1611,vadodara,864,GUJARAT,VADODARA,,,,,,,,,,,,,,
6,gujarat,1611,BHARUCH,16,1611,BHARUCH,16,123,gujarat,1611,bharuch,488,1611,bharuch,488,GUJARAT,BHARUCH,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,1611,narmada,487,1611,narmada,487,GUJARAT,NARMADA,,,,,,,,,,,,,,
6,gujarat,1438,SURAT,17,1438,SURAT,17,123,gujarat,1438,surat,492,1438,surat,492,GUJARAT,SURAT,,,,,,,,,,,,,,
,,,,,,,,123,gujarat,1438,tapi,493,1438,tapi,493,GUJARAT,TAPI,,,,,,,,,,,,,,
6,gujarat,1437,VALSAD,18,1437,VALSAD,18,123,gujarat,1437,valsad,491,1437,valsad,491,GUJARAT,VALSAD,,,,,,,,,,,,,,
